timestamp,datetime,price_window,current_price,prediction,confidence,threshold_met,prediction_time,trade_executed,trade_id,trade_type,trade_time
1746264218,2025-05-03 14:53:38,"[96320.11, 96320.11, 96333.33, 96333.34, 96333.33]",96333.33,UP,0.5957809527880967,False,0.2765340805053711,,,,
1746264233,2025-05-03 14:53:53,"[96320.11, 96333.33, 96333.34, 96333.33, 96333.34]",96333.34,UP,0.5957809527880967,False,0.2629058361053467,,,,
1746264249,2025-05-03 14:54:08,"[96333.33, 96333.34, 96333.33, 96333.34, 96333.34]",96333.34,UP,0.5957809527880967,False,0.40517449378967285,,,,
1746264263,2025-05-03 14:54:23,"[96333.34, 96333.33, 96333.34, 96333.34, 96333.34]",96333.34,UP,0.5957809527880967,False,0.2705512046813965,,,,
1746264278,2025-05-03 14:54:38,"[96333.33, 96333.34, 96333.34, 96333.34, 96333.35]",96333.35,UP,0.5957809527880967,False,0.2531590461730957,,,,
1746264294,2025-05-03 14:54:53,"[96333.34, 96333.34, 96333.34, 96333.35, 96357.14]",96357.14,UP,0.5957809527880967,False,0.43332672119140625,,,,
1746264309,2025-05-03 14:55:08,"[96333.34, 96333.34, 96333.35, 96357.14, 96357.15]",96357.15,UP,0.6176142861214301,True,0.3660728931427002,True,142ae25f-8b01-498b-9b3c-bc2c5316cb74,BUY,1.005791187286377
1746264324,2025-05-03 14:55:23,"[96333.34, 96333.35, 96357.14, 96357.15, 96357.15]",96357.15,UP,0.6176142861214301,True,0.3177464008331299,,,,
1746264339,2025-05-03 14:55:38,"[96333.35, 96357.14, 96357.15, 96357.15, 96357.15]",96357.15,UP,0.6176142861214301,True,0.3149068355560303,,,,
1746264354,2025-05-03 14:55:53,"[96357.14, 96357.15, 96357.15, 96357.15, 96396.23]",96396.23,UP,0.5686819684391125,False,0.38201189041137695,,,,
1746264369,2025-05-03 14:56:08,"[96357.15, 96357.15, 96357.15, 96396.23, 96396.23]",96396.23,UP,0.5781105398676839,False,0.30178332328796387,,,,
1746264384,2025-05-03 14:56:23,"[96357.15, 96357.15, 96396.23, 96396.23, 96396.23]",96396.23,UP,0.5781105398676839,False,0.29064226150512695,,,,
1746264399,2025-05-03 14:56:38,"[96357.15, 96396.23, 96396.23, 96396.23, 96396.22]",96396.22,UP,0.5741105398676839,False,0.405534029006958,,,,
1746264414,2025-05-03 14:56:53,"[96396.23, 96396.23, 96396.23, 96396.22, 96396.22]",96396.22,UP,0.5414914922486362,False,0.31241703033447266,,,,
1746264429,2025-05-03 14:57:08,"[96396.23, 96396.23, 96396.22, 96396.22, 96396.22]",96396.22,UP,0.5414914922486362,False,0.3440418243408203,,,,
1746264444,2025-05-03 14:57:23,"[96396.23, 96396.22, 96396.22, 96396.22, 96365.61]",96365.61,UP,0.5740601735673176,False,0.30951952934265137,,,,
1746264459,2025-05-03 14:57:38,"[96396.22, 96396.22, 96396.22, 96365.61, 96365.61]",96365.61,UP,0.5740601735673176,False,0.3616666793823242,,,,
1746264474,2025-05-03 14:57:53,"[96396.22, 96396.22, 96365.61, 96365.61, 96358.04]",96358.04,UP,0.5904238099309539,False,0.3610403537750244,,,,
1746264489,2025-05-03 14:58:08,"[96396.22, 96365.61, 96365.61, 96358.04, 96358.03]",96358.03,UP,0.5759952385023825,False,0.3184676170349121,,,,
1746264504,2025-05-03 14:58:23,"[96365.61, 96365.61, 96358.04, 96358.03, 96358.03]",96358.03,UP,0.6143285718357159,True,0.405703067779541,True,7a73dc01-942f-4ae8-8e6b-d63f9cccb644,BUY,1.0043189525604248
1746264519,2025-05-03 14:58:38,"[96365.61, 96358.04, 96358.03, 96358.03, 96350.0]",96350.0,UP,0.6233285718357159,True,0.30678796768188477,,,,
1746264534,2025-05-03 14:58:53,"[96358.04, 96358.03, 96358.03, 96350.0, 96341.28]",96341.28,UP,0.5957809527880967,False,0.34650301933288574,,,,
1746264549,2025-05-03 14:59:08,"[96358.03, 96358.03, 96350.0, 96341.28, 96333.34]",96333.34,UP,0.5957809527880967,False,0.30999183654785156,,,,
1746264564,2025-05-03 14:59:23,"[96358.03, 96350.0, 96341.28, 96333.34, 96333.34]",96333.34,UP,0.5957809527880967,False,0.33226966857910156,,,,
1746264579,2025-05-03 14:59:38,"[96350.0, 96341.28, 96333.34, 96333.34, 96325.39]",96325.39,UP,0.5957809527880967,False,0.5439188480377197,,,,
1746264594,2025-05-03 14:59:53,"[96341.28, 96333.34, 96333.34, 96325.39, 96325.4]",96325.4,UP,0.5957809527880967,False,0.40135645866394043,,,,
1746264609,2025-05-03 15:00:08,"[96333.34, 96333.34, 96325.39, 96325.4, 96325.39]",96325.39,UP,0.5957809527880967,False,0.5273666381835938,,,,
1746264624,2025-05-03 15:00:23,"[96333.34, 96325.39, 96325.4, 96325.39, 96325.39]",96325.39,UP,0.5957809527880967,False,0.3133828639984131,,,,
1746264639,2025-05-03 15:00:38,"[96325.39, 96325.4, 96325.39, 96325.39, 96320.43]",96320.43,UP,0.5957809527880967,False,0.3230719566345215,,,,
1746264654,2025-05-03 15:00:53,"[96325.4, 96325.39, 96325.39, 96320.43, 96320.42]",96320.42,UP,0.5957809527880967,False,0.3533668518066406,,,,
1746264669,2025-05-03 15:01:08,"[96325.39, 96325.39, 96320.43, 96320.42, 96320.43]",96320.43,UP,0.5957809527880967,False,0.3503239154815674,,,,
1746264684,2025-05-03 15:01:23,"[96325.39, 96320.43, 96320.42, 96320.43, 96320.43]",96320.43,UP,0.5957809527880967,False,0.40804576873779297,,,,
1746264699,2025-05-03 15:01:38,"[96320.43, 96320.42, 96320.43, 96320.43, 96320.42]",96320.42,UP,0.5957809527880967,False,0.305023193359375,,,,
