timestamp,datetime,price_window,current_price,model_type,rf_prediction,rf_confidence,xgb_prediction,xgb_confidence,used_model,prediction,confidence,threshold_met,prediction_time,trade_executed,trade_id,trade_type,trade_time
1746265727,2025-05-03 15:18:46,"[96344.36, 96357.77, 96357.76, 96357.76, 96351.96]",96351.96,ensemble,UP,0.64,UP,0.8735324,XGBoost,UP,0.8735324144363403,True,0.5563457012176514,,,,
1746265732,2025-05-03 15:18:51,"[96357.77, 96357.76, 96357.76, 96351.96, 96351.97]",96351.97,ensemble,UP,0.64,UP,0.83626693,XGBoost,UP,0.8362669348716736,True,0.3843669891357422,,,,
1746265737,2025-05-03 15:18:56,"[96357.76, 96357.76, 96351.96, 96351.97, 96351.96]",96351.96,ensemble,UP,0.62,UP,0.8269079,XGBoost,UP,0.8269078731536865,True,0.37196993827819824,True,6d54228a-77d9-4d8c-8061-5407e792b7f9,BUY,1.0069048404693604
1746265742,2025-05-03 15:19:01,"[96357.76, 96351.96, 96351.97, 96351.96, 96351.96]",96351.96,ensemble,UP,0.62,UP,0.87544346,XGBoost,UP,0.8754434585571289,True,0.3591294288635254,,,,
1746265747,2025-05-03 15:19:06,"[96351.96, 96351.97, 96351.96, 96351.96, 96351.97]",96351.97,ensemble,UP,0.62,UP,0.8707341,XGBoost,UP,0.8707340955734253,True,0.38464808464050293,,,,
1746265752,2025-05-03 15:19:11,"[96351.97, 96351.96, 96351.96, 96351.97, 96351.96]",96351.96,ensemble,UP,0.62,UP,0.8269079,XGBoost,UP,0.8269078731536865,True,0.44297313690185547,,,,
1746265757,2025-05-03 15:19:16,"[96351.96, 96351.96, 96351.97, 96351.96, 96341.4]",96341.4,ensemble,UP,0.62,UP,0.95189923,XGBoost,UP,0.9518992304801941,True,0.38198399543762207,,,,
1746265762,2025-05-03 15:19:21,"[96351.96, 96351.97, 96351.96, 96341.4, 96341.41]",96341.41,ensemble,UP,0.58,UP,0.83626693,XGBoost,UP,0.8362669348716736,True,0.37635231018066406,,,,
1746265767,2025-05-03 15:19:26,"[96351.97, 96351.96, 96341.4, 96341.41, 96341.41]",96341.41,ensemble,UP,0.56,UP,0.8269079,XGBoost,UP,0.8269078731536865,True,0.36179113388061523,,,,
1746265772,2025-05-03 15:19:31,"[96351.96, 96341.4, 96341.41, 96341.41, 96341.41]",96341.41,ensemble,UP,0.57,UP,0.87544346,XGBoost,UP,0.8754434585571289,True,0.37619805335998535,,,,
